step 1 , type: BOARDER , value: {

step 2 , type: TYPE , value: int

step 3 , type: IDENTIFIER , value: a

step 4 , type: BOARDER , value: ,

step 5 , type: IDENTIFIER , value: sum

step 6 , type: BOARDER , value: ;

step 7 , type: TYPE , value: bool

step 8 , type: IDENTIFIER , value: b

step 9 , type: BOARDER , value: ;

step 10 , type: IDENTIFIER , value: a

step 11 , type: OPERATOR , value: =

step 12 , type: NUM , value: 1

step 13 , type: BOARDER , value: ;

step 14 , type: IDENTIFIER , value: sum

step 15 , type: OPERATOR , value: =

step 16 , type: NUM , value: 0

step 17 , type: BOARDER , value: ;

step 18 , type: IDENTIFIER , value: b

step 19 , type: OPERATOR , value: :=

step 20 , type: IDENTIFIER , value: a

step 21 , type: OPERATOR , value: <=

step 22 , type: NUM , value: 100

step 23 , type: BOARDER , value: ;

step 24 , type: KEYWARD , value: while

step 25 , type: IDENTIFIER , value: b

step 26 , type: KEYWARD , value: do

step 27 , type: BOARDER , value: {

step 28 , type: IDENTIFIER , value: sum

step 29 , type: OPERATOR , value: =

step 30 , type: IDENTIFIER , value: sum

step 31 , type: OPERATOR , value: +

step 32 , type: IDENTIFIER , value: a

step 33 , type: BOARDER , value: ;

step 34 , type: IDENTIFIER , value: a

step 35 , type: OPERATOR , value: =

step 36 , type: IDENTIFIER , value: a

step 37 , type: OPERATOR , value: +

step 38 , type: NUM , value: 1

step 39 , type: BOARDER , value: ;

step 40 , type: IDENTIFIER , value: b

step 41 , type: OPERATOR , value: :=

step 42 , type: IDENTIFIER , value: a

step 43 , type: OPERATOR , value: <=

step 44 , type: NUM , value: 100

step 45 , type: BOARDER , value: ;

step 46 , type: BOARDER , value: }

step 47 , type: KEYWARD , value: write

step 48 , type: IDENTIFIER , value: sum

step 49 , type: BOARDER , value: ;

step 50 , type: BOARDER , value: }

