  ,&&,while,<,:=,=,+,),(,write,else,£¬,>,<=,id,},do,#,int,number,/,bool,!=,;,*,if,!,{,||,>=,then,==,-,read,PROG,FACTOR,NAME,REL,JOIN,Start,EXPR,DECL,BOOL,NOT,NEGA,TERM,MUL,DECLS,STMTS,STMT,ROP,ADD,NAMES
state 0,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s1,error,error,error,error,error,error,s2,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 1,error,r3,error,error,error,error,error,error,r3,error,error,error,error,r3,error,error,error,r3,error,error,r3,error,error,error,r3,error,r3,error,error,error,error,error,r3,error,error,error,error,error,error,error,error,error,error,error,error,error,s3,error,error,error,error,error
state 2,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,acc,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 3,error,s12,error,error,error,error,error,error,s10,error,error,error,error,s8,error,error,error,s5,error,error,s14,error,error,error,s11,error,s7,error,error,error,error,error,s9,error,error,error,error,error,error,error,s6,error,error,error,error,error,error,s4,s13,error,error,error
state 4,error,s12,error,error,error,error,error,error,s10,error,error,error,error,s8,s81,error,error,error,error,error,error,error,error,error,s11,error,s7,error,error,error,error,error,s9,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s80,error,error,error
state 5,error,error,error,error,error,error,error,error,error,error,error,error,error,s17,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s15,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s78
state 6,error,r2,error,error,error,error,error,error,r2,error,error,error,error,r2,error,error,error,r2,error,error,r2,error,error,error,r2,error,r2,error,error,error,error,error,r2,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 7,error,s12,error,error,error,error,error,error,s10,error,error,error,error,s8,error,error,error,error,error,error,error,error,error,error,s11,error,s7,error,error,error,error,error,s9,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s75,s13,error,error,error
state 8,error,error,error,s34,s33,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 9,error,error,error,error,error,error,error,error,error,error,error,error,error,s31,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 10,error,error,error,error,error,error,error,error,error,error,error,error,error,s29,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 11,error,error,error,error,error,error,error,error,error,error,error,error,error,s24,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 12,error,error,error,error,error,error,error,error,error,error,error,error,error,s21,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 13,error,r10,error,error,error,error,error,error,r10,error,error,error,error,r10,r10,error,error,error,error,error,error,error,error,error,r10,error,r10,error,error,error,error,error,r10,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 14,error,error,error,error,error,error,error,error,error,error,error,error,error,s17,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s15,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s16
state 15,error,error,error,error,error,error,error,error,error,error,r7,error,error,error,error,error,error,error,error,error,error,error,r7,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 16,error,error,error,error,error,error,error,error,error,error,s18,error,error,error,error,error,error,error,error,error,error,error,s19,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 17,error,error,error,error,error,error,error,error,error,error,r8,error,error,error,error,error,error,error,error,error,error,error,r8,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 18,error,error,error,error,error,error,error,error,error,error,error,error,error,s17,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s20,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 19,error,r5,error,error,error,error,error,error,r5,error,error,error,error,r5,error,error,error,r5,error,error,r5,error,error,error,r5,error,r5,error,error,error,error,error,r5,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 20,error,error,error,error,error,error,error,error,error,error,r6,error,error,error,error,error,error,error,error,error,error,error,r6,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 21,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s22,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 22,error,s12,error,error,error,error,error,error,s10,error,error,error,error,s8,error,error,error,error,error,error,error,error,error,error,s11,error,s7,error,error,error,error,error,s9,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s23,error,error,error
state 23,error,r15,error,error,error,error,error,error,r15,r15,error,error,error,r15,r15,error,error,error,error,error,error,error,error,error,r15,error,r15,error,error,error,error,error,r15,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
