步骤, 状态栈, 符号栈, 动作说明
0,0 1 ,# { ,移进
1,0 1 3 ,# { DECLS ,规约： DECLS->$ 
2,0 1 3 5 ,# { DECLS int ,移进
3,0 1 3 5 17 ,# { DECLS int id ,移进
4,0 1 3 5 15 ,# { DECLS int NAME ,规约： NAME->id 
5,0 1 3 5 78 ,# { DECLS int NAMES ,规约： NAMES->NAME 
6,0 1 3 5 78 18 ,# { DECLS int NAMES ，,移进
7,0 1 3 5 78 18 17 ,# { DECLS int NAMES ，id ,移进
8,0 1 3 5 78 18 20 ,# { DECLS int NAMES ，NAME ,规约： NAME->id 
9,0 1 3 5 78 ,# { DECLS int NAMES ,规约： NAMES->NAMES ，NAME 
10,0 1 3 5 78 79 ,# { DECLS int NAMES ; ,移进
11,0 1 3 6 ,# { DECLS DECL ,规约： DECL->int NAMES ; 
12,0 1 3 ,# { DECLS ,规约： DECLS->DECLS DECL 
13,0 1 3 14 ,# { DECLS bool ,移进
14,0 1 3 14 17 ,# { DECLS bool id ,移进
15,0 1 3 14 15 ,# { DECLS bool NAME ,规约： NAME->id 
16,0 1 3 14 16 ,# { DECLS bool NAMES ,规约： NAMES->NAME 
17,0 1 3 14 16 19 ,# { DECLS bool NAMES ; ,移进
18,0 1 3 6 ,# { DECLS DECL ,规约： DECL->bool NAMES ; 
19,0 1 3 ,# { DECLS ,规约： DECLS->DECLS DECL 
20,0 1 3 8 ,# { DECLS id ,移进
21,0 1 3 8 33 ,# { DECLS id = ,移进
22,0 1 3 8 33 45 ,# { DECLS id = number ,移进
23,0 1 3 8 33 47 ,# { DECLS id = FACTOR ,规约： FACTOR->number 
24,0 1 3 8 33 42 ,# { DECLS id = NEGA ,规约： NEGA->FACTOR 
25,0 1 3 8 33 39 ,# { DECLS id = TERM ,规约： TERM->NEGA 
26,0 1 3 8 33 73 ,# { DECLS id = EXPR ,规约： EXPR->TERM 
27,0 1 3 8 33 73 74 ,# { DECLS id = EXPR ; ,移进
28,0 1 3 13 ,# { DECLS STMT ,规约： STMT->id = EXPR ; 
29,0 1 3 4 ,# { DECLS STMTS ,规约： STMTS->STMT 
30,0 1 3 4 8 ,# { DECLS STMTS id ,移进
