步骤, 状态栈, 符号栈, 动作说明
0,0 1 ,# { ,移进
1,0 1 3 ,# { DECLS ,规约： DECLS->$ 
2,0 1 3 5 ,# { DECLS int ,移进
3,0 1 3 5 17 ,# { DECLS int id ,移进
4,0 1 3 5 15 ,# { DECLS int NAME ,规约： NAME->id 
5,0 1 3 5 78 ,# { DECLS int NAMES ,规约： NAMES->NAME 
6,0 1 3 5 78 18 ,# { DECLS int NAMES ，,移进
7,0 1 3 5 78 18 17 ,# { DECLS int NAMES ，id ,移进
8,0 1 3 5 78 18 20 ,# { DECLS int NAMES ，NAME ,规约： NAME->id 
9,0 1 3 5 78 ,# { DECLS int NAMES ,规约： NAMES->NAMES ，NAME 
10,0 1 3 5 78 18 ,# { DECLS int NAMES ，,移进
11,0 1 3 5 78 18 17 ,# { DECLS int NAMES ，id ,移进
12,0 1 3 5 78 18 20 ,# { DECLS int NAMES ，NAME ,规约： NAME->id 
13,0 1 3 5 78 ,# { DECLS int NAMES ,规约： NAMES->NAMES ，NAME 
14,0 1 3 5 78 79 ,# { DECLS int NAMES ; ,移进
15,0 1 3 6 ,# { DECLS DECL ,规约： DECL->int NAMES ; 
16,0 1 3 ,# { DECLS ,规约： DECLS->DECLS DECL 
17,0 1 3 9 ,# { DECLS read ,移进
18,0 1 3 9 31 ,# { DECLS read id ,移进
19,0 1 3 9 31 32 ,# { DECLS read id ; ,移进
20,0 1 3 13 ,# { DECLS STMT ,规约： STMT->read id ; 
21,0 1 3 4 ,# { DECLS STMTS ,规约： STMTS->STMT 
22,0 1 3 4 9 ,# { DECLS STMTS read ,移进
23,0 1 3 4 9 31 ,# { DECLS STMTS read id ,移进
24,0 1 3 4 9 31 32 ,# { DECLS STMTS read id ; ,移进
25,0 1 3 4 80 ,# { DECLS STMTS STMT ,规约： STMT->read id ; 
26,0 1 3 4 ,# { DECLS STMTS ,规约： STMTS->STMTS STMT 
27,0 1 3 4 8 ,# { DECLS STMTS id ,移进
28,0 1 3 4 8 33 ,# { DECLS STMTS id = ,移进
29,0 1 3 4 8 33 43 ,# { DECLS STMTS id = id ,移进
