word	           row 	  col	times	pinlv 30(total)
and                 2     4     3     10.00000%
apollo              1     1     1     3.33333%
crewed              2     1     1     3.33333%
culminated          6     1     1     3.33333%
from                3     2     1     3.33333%
glitches            4     3     1     3.33333%
hello               7     1     1     3.33333%
ken                 3     1     1     3.33333%
launched            3     1     1     3.33333%
minor               4     2     1     3.33333%
module              2     2     1     3.33333%
moon                5     2     2     6.66667%
of                  4     1     1     3.33333%
pilot               2     3     1     3.33333%
problem             6     1     1     3.33333%
route               5     1     2     6.66667%
space               4     1     1     3.33333%
tenth               1     4     1     3.33333%
the                 1     3     5     16.66667%
these               5     3     1     3.33333%
was                 1     2     2     6.66667%
