step,actic loss,critic loss,average distance,time
10,-42.0055,16.5196,4.1575,0min0sec
20,-30.0642,12.2989,4.1690,0min0sec
30,-12.8051,10.7318,4.1671,0min0sec
40,-10.8292,8.3530,4.1647,0min0sec
50,-8.3598,6.8548,4.1496,0min0sec
60,-6.9605,5.8149,4.0828,0min0sec
70,-5.9806,5.0604,4.0091,0min0sec
80,-5.2451,4.4926,3.9452,0min0sec
90,-4.6650,4.0477,3.8967,0min0sec
100,-4.2016,3.6899,3.8573,0min0sec
110,-3.8168,3.3975,3.8265,0min0sec
120,-3.5008,3.1544,3.7988,0min0sec
130,-3.2319,2.9480,3.7751,0min0sec
140,-2.9992,2.7690,3.7550,0min0sec
150,-2.7990,2.6164,3.7375,0min0sec
160,-2.6225,2.4819,3.7231,0min0sec
170,-2.4687,2.3635,3.7095,0min0sec
180,-2.3301,2.2571,3.6970,0min0sec
190,-2.2069,2.1623,3.6878,0min0sec
200,-2.0958,2.0775,3.6786,0min0sec
210,-1.9972,1.9999,3.6700,0min0sec
220,-1.9040,1.9297,3.6625,0min0sec
230,-1.8221,1.8652,3.6554,0min0sec
240,-1.7458,1.8061,3.6489,0min0sec
250,-1.6751,1.7523,3.6428,0min0sec
260,-1.6107,1.7025,3.6371,0min0sec
270,-1.5499,1.6561,3.6319,0min0sec
280,-1.4950,1.6136,3.6266,0min0sec
290,-1.4436,1.5739,3.6218,0min0sec
300,-1.3953,1.5360,3.6179,0min0sec
310,-1.3501,1.5007,3.6135,0min0sec
320,-1.3072,1.4675,3.6097,0min0sec
330,-1.2684,1.4364,3.6061,0min0sec
340,-1.2312,1.4068,3.6033,0min0sec
350,-1.1972,1.3781,3.6002,0min0sec
360,-1.1633,1.3499,3.5979,0min0sec
370,-1.1323,1.3241,3.5949,0min0sec
380,-1.1023,1.2985,3.5919,0min0sec
390,-1.0731,1.2742,3.5895,0min0sec
400,-1.0472,1.2509,3.5871,0min0sec
410,-1.0211,1.2285,3.5846,0min0sec
420,-0.9984,1.2089,3.5826,0min0sec
430,-0.9753,1.1881,3.5808,0min0sec
440,-0.9528,1.1678,3.5789,0min0sec
450,-0.9315,1.1485,3.5769,0min0sec
460,-0.9106,1.1299,3.5747,0min0sec
470,-0.8918,1.1123,3.5725,0min0sec
480,-0.8731,1.0955,3.5708,0min0sec
490,-0.8559,1.0790,3.5689,0min0sec
500,-0.8393,1.0630,3.5672,0min0sec
510,-0.8226,1.0479,3.5655,0min0sec
520,-0.8067,1.0332,3.5642,0min0sec
530,-0.7911,1.0193,3.5629,0min0sec
540,-0.7768,1.0059,3.5615,0min0sec
550,-0.7625,0.9926,3.5600,0min0sec
560,-0.7488,0.9798,3.5590,0min0sec
570,-0.7352,0.9676,3.5583,0min0sec
580,-0.7221,0.9563,3.5569,0min0sec
590,-0.7090,0.9453,3.5557,0min0sec
600,-0.6968,0.9346,3.5548,0min0sec
610,-0.6854,0.9241,3.5541,0min0sec
620,-0.6742,0.9134,3.5531,0min0sec
630,-0.6632,0.9031,3.5524,0min0sec
640,-0.6527,0.8932,3.5516,0min0sec
650,-0.6425,0.8835,3.5509,0min0sec
660,-0.6325,0.8742,3.5501,0min0sec
670,-0.6231,0.8652,3.5491,0min0sec
680,-0.6137,0.8568,3.5480,0min0sec
690,-0.6054,0.8488,3.5471,0min0sec
700,-0.5966,0.8404,3.5464,0min0sec
710,-0.5881,0.8321,3.5455,0min0sec
720,-0.5802,0.8243,3.5446,0min0sec
730,-0.5723,0.8167,3.5437,0min0sec
740,-0.5644,0.8093,3.5432,0min0sec
750,-0.5569,0.8027,3.5425,0min0sec
760,-0.5492,0.7961,3.5420,0min0sec
770,-0.5423,0.7897,3.5414,0min0sec
780,-0.5355,0.7833,3.5410,0min0sec
790,-0.5284,0.7766,3.5403,0min0sec
800,-0.5218,0.7702,3.5398,0min0sec
810,-0.5151,0.7638,3.5394,0min0sec
820,-0.5085,0.7578,3.5389,0min0sec
830,-0.5023,0.7519,3.5384,0min0sec
840,-0.4962,0.7461,3.5379,0min0sec
850,-0.4901,0.7402,3.5375,0min0sec
860,-0.4842,0.7345,3.5371,0min0sec
870,-0.4785,0.7289,3.5365,0min0sec
880,-0.4725,0.7240,3.5359,0min0sec
890,-0.4664,0.7192,3.5353,0min0sec
900,-0.4608,0.7144,3.5347,0min0sec
910,-0.4564,0.7099,3.5341,0min0sec
920,-0.4514,0.7049,3.5334,0min0sec
930,-0.4462,0.7002,3.5328,0min0sec
940,-0.4414,0.6953,3.5322,0min0sec
950,-0.4369,0.6906,3.5317,0min0sec
960,-0.4323,0.6861,3.5314,0min0sec
970,-0.4277,0.6817,3.5309,0min0sec
980,-0.4232,0.6773,3.5302,0min0sec
990,-0.4191,0.6730,3.5297,0min0sec
1000,-0.4148,0.6688,3.5292,0min0sec
1010,-0.4105,0.6646,3.5288,0min0sec
1020,-0.4064,0.6605,3.5283,0min0sec
1030,-0.4023,0.6566,3.5280,0min0sec
1040,-0.3985,0.6530,3.5279,0min0sec
1050,-0.3942,0.6494,3.5275,0min0sec
1060,-0.3903,0.6456,3.5269,0min0sec
1070,-0.3865,0.6419,3.5263,0min0sec
1080,-0.3830,0.6383,3.5261,0min0sec
1090,-0.3793,0.6348,3.5258,0min0sec
1100,-0.3758,0.6313,3.5254,0min0sec
1110,-0.3724,0.6279,3.5252,0min0sec
1120,-0.3688,0.6247,3.5250,0min0sec
1130,-0.3654,0.6213,3.5247,0min0sec
1140,-0.3624,0.6181,3.5246,0min0sec
1150,-0.3589,0.6149,3.5244,0min0sec
1160,-0.3558,0.6118,3.5241,0min0sec
1170,-0.3526,0.6089,3.5238,0min0sec
1180,-0.3497,0.6058,3.5233,0min0sec
1190,-0.3467,0.6030,3.5233,0min0sec
1200,-0.3438,0.6000,3.5230,0min0sec
1210,-0.3409,0.5972,3.5229,0min0sec
1220,-0.3380,0.5944,3.5226,0min0sec
1230,-0.3353,0.5916,3.5225,0min0sec
1240,-0.3324,0.5891,3.5223,0min0sec
1250,-0.3296,0.5865,3.5220,0min0sec
1260,-0.3268,0.5837,3.5217,0min0sec
1270,-0.3242,0.5811,3.5215,0min0sec
1280,-0.3218,0.5785,3.5212,0min0sec
1290,-0.3192,0.5758,3.5209,0min0sec
1300,-0.3167,0.5733,3.5205,0min0sec
1310,-0.3143,0.5709,3.5202,0min0sec
1320,-0.3116,0.5686,3.5197,0min0sec
1330,-0.3092,0.5661,3.5193,0min0sec
1340,-0.3068,0.5637,3.5189,0min0sec
1350,-0.3045,0.5614,3.5186,0min0sec
1360,-0.3022,0.5590,3.5180,0min0sec
1370,-0.2999,0.5568,3.5172,0min0sec
1380,-0.2978,0.5549,3.5161,0min0sec
1390,-0.2956,0.5530,3.5152,0min0sec
