step,actic loss,critic loss,average distance,time
10,-76.9860,26.9470,5.2358,0min0sec
20,-60.3997,20.4147,5.2257,0min0sec
30,-24.6511,17.9325,5.2149,0min0sec
40,-19.7964,13.8540,5.2108,0min0sec
50,-15.3918,11.3139,5.2114,0min0sec
60,-12.9241,9.5860,5.2074,0min0sec
70,-11.0924,8.3375,5.1677,0min0sec
80,-9.7545,7.3784,5.0606,0min0sec
90,-8.6800,6.6309,4.9672,0min0sec
100,-7.8189,6.0303,4.8906,0min0sec
110,-7.1160,5.5381,4.8291,0min0sec
120,-6.5270,5.1255,4.7757,0min0sec
130,-6.0285,4.7769,4.7309,0min0sec
140,-5.6009,4.4793,4.6935,0min0sec
150,-5.2284,4.2203,4.6597,0min0sec
160,-4.9037,3.9963,4.6307,0min0sec
170,-4.6106,3.7986,4.6060,0min0sec
180,-4.3519,3.6233,4.5835,0min0sec
190,-4.1256,3.4651,4.5644,0min0sec
200,-3.9207,3.3223,4.5464,0min0sec
210,-3.7330,3.1930,4.5300,0min0sec
220,-3.5650,3.0775,4.5155,0min0sec
230,-3.4077,2.9712,4.5035,0min0sec
240,-3.2652,2.8721,4.4904,0min0sec
250,-3.1341,2.7812,4.4781,0min0sec
260,-3.0156,2.6966,4.4672,0min0sec
270,-2.9020,2.6183,4.4577,0min0sec
280,-2.7974,2.5462,4.4487,0min0sec
290,-2.7017,2.4780,4.4400,0min0sec
300,-2.6128,2.4145,4.4313,0min0sec
310,-2.5269,2.3556,4.4233,0min0sec
320,-2.4475,2.3003,4.4157,0min0sec
330,-2.3730,2.2479,4.4094,0min0sec
340,-2.3021,2.1990,4.4034,0min0sec
350,-2.2361,2.1529,4.3976,0min0sec
360,-2.1723,2.1092,4.3917,0min0sec
370,-2.1162,2.0686,4.3860,0min0sec
380,-2.0598,2.0295,4.3806,0min0sec
390,-2.0058,1.9921,4.3750,0min0sec
400,-1.9556,1.9563,4.3699,0min0sec
410,-1.9085,1.9214,4.3651,0min0sec
420,-1.8626,1.8890,4.3612,0min0sec
430,-1.8191,1.8583,4.3569,0min0sec
440,-1.7780,1.8292,4.3532,0min0sec
450,-1.7371,1.8019,4.3498,0min0sec
460,-1.7000,1.7757,4.3466,0min0sec
470,-1.6622,1.7505,4.3434,0min0sec
480,-1.6275,1.7257,4.3402,0min0sec
490,-1.5930,1.7023,4.3369,0min0sec
500,-1.5618,1.6798,4.3337,0min0sec
510,-1.5321,1.6582,4.3309,0min0sec
520,-1.5007,1.6379,4.3282,0min0sec
530,-1.4735,1.6178,4.3251,0min0sec
540,-1.4461,1.5980,4.3222,0min0sec
550,-1.4191,1.5790,4.3196,0min0sec
560,-1.3940,1.5602,4.3169,0min0sec
570,-1.3693,1.5415,4.3145,0min0sec
580,-1.3453,1.5228,4.3122,0min0sec
590,-1.3217,1.5049,4.3099,0min0sec
600,-1.3013,1.4874,4.3080,0min0sec
610,-1.2803,1.4703,4.3061,0min0sec
620,-1.2597,1.4546,4.3042,0min0sec
630,-1.2389,1.4391,4.3023,0min0sec
640,-1.2189,1.4234,4.3002,0min0sec
650,-1.2004,1.4084,4.2984,0min0sec
660,-1.1823,1.3938,4.2963,0min0sec
670,-1.1648,1.3799,4.2946,0min0sec
680,-1.1476,1.3658,4.2928,0min0sec
690,-1.1304,1.3532,4.2910,0min0sec
700,-1.1129,1.3406,4.2895,0min0sec
710,-1.0969,1.3279,4.2883,0min0sec
720,-1.0820,1.3154,4.2868,0min0sec
730,-1.0664,1.3029,4.2852,0min0sec
740,-1.0519,1.2902,4.2838,0min0sec
750,-1.0376,1.2780,4.2822,0min0sec
760,-1.0225,1.2668,4.2808,0min0sec
770,-1.0105,1.2560,4.2797,0min0sec
780,-0.9982,1.2452,4.2781,0min0sec
790,-0.9864,1.2345,4.2766,0min0sec
800,-0.9735,1.2237,4.2750,0min0sec
810,-0.9615,1.2129,4.2733,0min0sec
820,-0.9498,1.2026,4.2717,0min0sec
830,-0.9383,1.1924,4.2700,0min0sec
840,-0.9278,1.1830,4.2682,0min0sec
850,-0.9158,1.1744,4.2658,0min0sec
860,-0.9059,1.1653,4.2631,0min0sec
870,-0.8955,1.1561,4.2596,0min0sec
880,-0.8856,1.1472,4.2557,0min0sec
890,-0.8759,1.1386,4.2519,0min0sec
900,-0.8672,1.1301,4.2479,0min0sec
910,-0.8579,1.1217,4.2439,0min0sec
920,-0.8493,1.1134,4.2395,0min0sec
930,-0.8407,1.1055,4.2352,0min0sec
940,-0.8325,1.0978,4.2309,0min0sec
950,-0.8241,1.0898,4.2264,0min0sec
960,-0.8156,1.0823,4.2225,0min0sec
970,-0.8078,1.0749,4.2180,0min0sec
980,-0.7998,1.0674,4.2134,0min0sec
990,-0.7921,1.0602,4.2083,0min0sec
